中央央视,#genre#
CCTV-1高清,http://192.168.1.1:7088/udp/239.20.0.104:2006
CCTV-1综合,http://192.168.1.1:7088/udp/239.20.0.104:2006
CCTV-2财经,http://192.168.1.1:7088/udp/239.20.0.197:2192
CCTV-3综艺,http://192.168.1.1:7088/udp/239.20.0.28:3292
CCTV-4中文国际,http://192.168.1.1:7088/udp/239.20.0.16:3340
CCTV-5体育,http://192.168.1.1:7088/udp/239.20.0.30:3284
CCTV-6电影,http://192.168.1.1:7088/udp/239.20.0.29:3288
CCTV-7国防军事,http://192.168.1.1:7088/udp/239.20.0.198:2194
CCTV-8电视剧,http://192.168.1.1:7088/udp/239.20.0.31:3280
CCTV-9纪录,http://192.168.1.1:7088/udp/239.20.0.199:2196
CCTV-10科教,http://192.168.1.1:7088/udp/239.20.0.200:2198
CCTV-11戏曲,http://192.168.1.1:7088/udp/239.21.0.35:3480
CCTV-12社会与法,http://192.168.1.1:7088/udp/239.20.0.201:2200
CCTV-13新闻,http://192.168.1.1:7088/udp/239.21.0.88:3692
CCTV-14少儿,http://192.168.1.1:7088/udp/239.20.0.202:2202
CCTV-15音乐,http://192.168.1.1:7088/udp/239.21.0.36:3484
CGTN,http://192.168.1.1:7088/udp/239.20.0.186:2170
CCTV-17,http://192.168.1.1:7088/udp/239.20.0.7:3376
CCTV5+体育高清,http://192.168.1.1:7088/udp/239.20.0.203:2204
CCTV-2高清,http://192.168.1.1:7088/udp/239.20.0.197:2192
CCTV-3高清,http://192.168.1.1:7088/udp/239.20.0.28:3292
CCTV-4高清,http://192.168.1.1:7088/udp/239.20.0.16:3340
CCTV-5高清,http://192.168.1.1:7088/udp/239.20.0.30:3284
CCTV-6高清,http://192.168.1.1:7088/udp/239.20.0.29:3288
CCTV-7国防军事高清,http://192.168.1.1:7088/udp/239.20.0.198:2194
CCTV-8高清,http://192.168.1.1:7088/udp/239.20.0.31:3280
CCTV-9高清,http://192.168.1.1:7088/udp/239.20.0.199:2196
CCTV-10高清,http://192.168.1.1:7088/udp/239.20.0.200:2198
CCTV-11高清,http://192.168.1.1:7088/udp/239.21.0.35:3480
CCTV-12高清,http://192.168.1.1:7088/udp/239.20.0.201:2200
CCTV-13高清,http://192.168.1.1:7088/udp/239.21.0.88:3692
CCTV-14少儿高清,http://192.168.1.1:7088/udp/239.20.0.202:2202
CCTV-15高清,http://192.168.1.1:7088/udp/239.21.0.36:3484
CCTV-16高清,http://192.168.1.1:7088/udp/239.21.0.116:3808
CCTV-17农业高清,http://192.168.1.1:7088/udp/239.20.0.7:3376
CCTV4中文国际欧洲高清,http://192.168.1.1:7088/udp/239.21.0.107:3768
CCTV4中文国际美洲高清,http://192.168.1.1:7088/udp/239.21.0.108:3772
CGTN,http://192.168.1.1:7088/udp/239.20.0.186:2170
CETV-2,http://192.168.1.1:7088/udp/239.21.0.46:3524
CETV-4,http://192.168.1.1:7088/udp/239.21.0.142:3912
CETV-4高清,http://192.168.1.1:7088/udp/239.21.0.142:3912
CGTN 英语,http://192.168.1.1:7088/udp/239.21.0.109:3776
CGTN 英文记录,http://192.168.1.1:7088/udp/239.21.0.110:3780
CGTN 西班牙语,http://192.168.1.1:7088/udp/239.21.0.111:3800
CGTN 法语,http://192.168.1.1:7088/udp/239.21.0.112:3788
CGTN 阿拉伯语,http://192.168.1.1:7088/udp/239.21.0.113:3792
CGTN 俄语,http://192.168.1.1:7088/udp/239.21.0.114:3796

地方卫视,#genre#
湖南卫视,http://192.168.1.1:7088/udp/239.20.0.105:2008
广东卫视,http://192.168.1.1:7088/udp/239.20.0.99:3004
大湾区卫视,http://192.168.1.1:7088/udp/239.21.0.84:3676
广东卫视高清,http://192.168.1.1:7088/udp/239.20.0.99:3004
浙江卫视,http://192.168.1.1:7088/udp/239.20.0.169:2136
江苏卫视,http://192.168.1.1:7088/udp/239.20.0.170:2138
东方卫视,http://192.168.1.1:7088/udp/239.20.0.173:2144
安徽卫视,http://192.168.1.1:7088/udp/239.20.0.193:2184
北京卫视,http://192.168.1.1:7088/udp/239.20.0.121:2040
江西卫视,http://192.168.1.1:7088/udp/239.20.0.55:3180
深圳卫视,http://192.168.1.1:7088/udp/239.20.0.122:2042
河南卫视,http://192.168.1.1:7088/udp/239.21.0.104:3756
云南卫视,http://192.168.1.1:7088/udp/239.21.0.133:3876
陕西卫视,http://192.168.1.1:7088/udp/239.20.0.151:2100
山西卫视,http://192.168.1.1:7088/udp/239.20.0.152:2102
内蒙古卫视,http://192.168.1.1:7088/udp/239.20.0.153:2104
青海卫视,http://192.168.1.1:7088/udp/239.21.0.144:3920
海南卫视,http://192.168.1.1:7088/udp/239.21.0.134:3880
宁夏卫视,http://192.168.1.1:7088/udp/239.20.0.156:2110
西藏卫视,http://192.168.1.1:7088/udp/239.20.0.157:2112
新疆卫视,http://192.168.1.1:7088/udp/239.20.0.158:2114
甘肃卫视,http://192.168.1.1:7088/udp/239.21.0.141:3908
兵团卫视,http://192.168.1.1:7088/udp/239.20.0.160:2118
厦门卫视,http://192.168.1.1:7088/udp/239.20.0.168:2134
三沙卫视,http://192.168.1.1:7088/udp/239.21.0.143:3916
吉林延边卫视,http://192.168.1.1:7088/udp/239.20.0.51:3216
湖南卫视高清,http://192.168.1.1:7088/udp/239.20.0.105:2008
浙江卫视高清,http://192.168.1.1:7088/udp/239.20.0.169:2136
江苏卫视高清,http://192.168.1.1:7088/udp/239.20.0.170:2138
北京卫视高清,http://192.168.1.1:7088/udp/239.20.0.121:2040
深圳卫视高清,http://192.168.1.1:7088/udp/239.20.0.122:2042
黑龙江卫视高清,http://192.168.1.1:7088/udp/239.20.0.123:2044
湖北卫视高清,http://192.168.1.1:7088/udp/239.20.0.124:2046
天津卫视高清,http://192.168.1.1:7088/udp/239.20.0.171:2140
山东卫视高清,http://192.168.1.1:7088/udp/239.20.0.88:3048
东方卫视高清,http://192.168.1.1:7088/udp/239.20.0.173:2144
辽宁卫视高清,http://192.168.1.1:7088/udp/239.20.0.175:2148
四川卫视高清,http://192.168.1.1:7088/udp/239.20.0.194:2186
金鹰纪实高清,http://192.168.1.1:7088/udp/239.20.0.196:2190
重庆卫视高清,http://192.168.1.1:7088/udp/239.20.0.195:2188
安徽卫视高清,http://192.168.1.1:7088/udp/239.20.0.193:2184
贵州卫视高清,http://192.168.1.1:7088/udp/239.20.0.212:2222
福建东南卫视高清,http://192.168.1.1:7088/udp/239.20.0.58:3168
上海纪实高清,http://192.168.1.1:7088/udp/239.20.0.57:3172
河北卫视高清,http://192.168.1.1:7088/udp/239.20.0.56:3176
江西卫视高清,http://192.168.1.1:7088/udp/239.20.0.55:3180
吉林卫视高清,http://192.168.1.1:7088/udp/239.20.0.54:3184
广西卫视高清,http://192.168.1.1:7088/udp/239.20.0.15:3344
甘肃卫视高清,http://192.168.1.1:7088/udp/239.21.0.141:3908
河南卫视高清,http://192.168.1.1:7088/udp/239.21.0.104:3756
云南卫视高清,http://192.168.1.1:7088/udp/239.21.0.133:3876
海南卫视高清,http://192.168.1.1:7088/udp/239.21.0.134:3880
三沙卫视高清,http://192.168.1.1:7088/udp/239.21.0.143:3916
青海卫视高清,http://192.168.1.1:7088/udp/239.21.0.144:3920
广东卫视超清,http://192.168.1.1:7088/udp/239.20.0.99:3004
山东卫视超清,http://192.168.1.1:7088/udp/239.20.0.88:3048

广东影视,#genre#
广东体育高清,http://192.168.1.1:7088/udp/239.20.0.97:3012
广东珠江高清,http://192.168.1.1:7088/udp/239.20.0.63:3148
广东影视高清,http://192.168.1.1:7088/udp/239.21.0.85:3680
广东民生高清,http://192.168.1.1:7088/udp/239.21.0.86:3684
广东少儿高清,http://192.168.1.1:7088/udp/239.21.0.87:3688
广东新闻高清,http://192.168.1.1:7088/udp/239.21.0.93:3712
广东体育超清,http://192.168.1.1:7088/udp/239.20.0.97:3012
广东珠江超清,http://192.168.1.1:7088/udp/239.20.0.63:3148
广东珠江,http://192.168.1.1:7088/udp/239.20.0.63:3148
广东珠江,http://php.jdshipin.com/TVOD/iptv.php?id=gdzj
广东新闻,http://192.168.1.1:7088/udp/239.21.0.93:3712
广东民生,http://192.168.1.1:7088/udp/239.21.0.86:3684
广东体育,http://192.168.1.1:7088/udp/239.20.0.97:3012
广东体育,http://php.jdshipin.com/TVOD/iptv.php?id=gdty
广东影视,http://192.168.1.1:7088/udp/239.21.0.85:3680
广东少儿,http://192.168.1.1:7088/udp/239.21.0.87:3688
爱体育高清,http://192.168.1.1:7088/udp/239.20.0.208:2214
岭南戏曲,http://192.168.1.1:7088/udp/239.21.0.147:3932
岭南戏曲高清,http://192.168.1.1:7088/udp/239.21.0.147:3932

电影少儿,#genre#
嘉佳卡通,http://192.168.1.1:7088/udp/239.21.0.94:3716
嘉佳卡通高清,http://192.168.1.1:7088/udp/239.21.0.94:3716
卡酷动画,http://192.168.1.1:7088/udp/239.20.0.162:2122
金鹰卡通高清,http://192.168.1.1:7088/udp/239.21.0.115:3804
金鹰卡通,http://192.168.1.1:7088/udp/239.21.0.115:3804
炫动卡通,http://192.168.1.1:7088/udp/239.20.0.164:2126
金鹰纪实高清,http://192.168.1.1:7088/udp/239.20.0.196:2190
VSPN电竞,http://192.168.1.1:7088/udp/239.20.0.50:3200
IPTV谍战剧场,http://192.168.1.1:7088/udp/239.20.0.228:2254
IPTV相声小品,http://192.168.1.1:7088/udp/239.20.0.229:2256
IPTV野外,http://192.168.1.1:7088/udp/239.20.0.230:2258
IPTV法治,http://192.168.1.1:7088/udp/239.20.0.231:2260
爱电影,http://192.168.1.1:7088/udp/239.20.0.232:2262
重温经典,http://php.jdshipin.com/TVOD/iptv.php?id=cwjd
经典电影,http://192.168.1.1:7088/udp/239.20.0.233:2264
爱大剧,http://192.168.1.1:7088/udp/239.20.0.234:2266
热播剧场,http://192.168.1.1:7088/udp/239.20.0.235:2268
爱综艺,http://192.168.1.1:7088/udp/239.20.0.236:2270
爱体育,http://192.168.1.1:7088/udp/239.20.0.208:2214
少儿动画,http://192.168.1.1:7088/udp/239.20.0.238:2274
魅力时尚,http://192.168.1.1:7088/udp/239.20.0.239:2276
环球奇观,http://192.168.1.1:7088/udp/239.20.0.245:2288
国学频道,http://192.168.1.1:7088/udp/239.20.0.247:2292
发现之旅,http://192.168.1.1:7088/udp/239.21.0.151:3948
卫生健康高清,http://192.168.1.1:7088/udp/239.21.0.154:3960
兵器科技高清,http://192.168.1.1:7088/udp/239.21.0.80:3660
电视指南高清,http://192.168.1.1:7088/udp/239.21.0.81:3664
风云足球高清,http://192.168.1.1:7088/udp/239.21.0.70:3620
央视台球高清,http://192.168.1.1:7088/udp/239.21.0.71:3624
高尔夫网球高清,http://192.168.1.1:7088/udp/239.21.0.72:3628
女性时尚高清,http://192.168.1.1:7088/udp/239.21.0.73:3632
世界地理高清,http://192.168.1.1:7088/udp/239.21.0.74:3636
怀旧剧场高清,http://192.168.1.1:7088/udp/239.21.0.75:3640
风云剧场高清,http://192.168.1.1:7088/udp/239.21.0.76:3644
央视精品高清,http://192.168.1.1:7088/udp/239.21.0.77:3648
第一剧场高清,http://192.168.1.1:7088/udp/239.21.0.78:3652
风云音乐高清,http://192.168.1.1:7088/udp/239.21.0.79:3656
早期教育高清,http://192.168.1.1:7088/udp/239.21.0.106:3764

香港卫视,#genre#
鳳凰衛視中文台,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_fhzw.flv
鳳凰衛視中文台,http://s1.an94tv.cfd/aktv/CH-3/AKTV.m3u8
鳳凰衛視中文台,https://smart.pendy.dpdns.org/Smart.php?id=phoenixtv_hd
鳳凰衛視中文台,https://live.tvfix.org/live/fhzw/index.m3u8
鳳凰衛視中文台,http://bxtv.3a.ink/api.php?id=fhzw
鳳凰衛視中文台,http://php.jdshipin.com:8880/smt.php?id=phoenixtv_hd
鳳凰衛視香港台,https://live.tvfix.org/live/fhxg/index.m3u8
鳳凰衛視香港台,http://bxtv.3a.ink/api.php?id=fhhk
鳳凰衛視香港台,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
鳳凰衛視香港台,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk2
鳳凰衛視香港台,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_fhxg.flv
鳳凰衛視香港台,https://smart.pendy.dpdns.org/Smart.php?id=hkphoenix_twn
鳳凰衛視香港台,http://php.jdshipin.com:8880/smt.php?id=hkphoenix_twn
鳳凰衛視香港台,http://s1.an94tv.cfd/aktv/CH-5/AKTV.m3u8
鳳凰衛視資訊台,http://s1.an94tv.cfd/aktv/CH-4/AKTV.m3u8
鳳凰衛視資訊台,https://live.tvfix.org/live/fhzx/index.m3u8
鳳凰衛視資訊台,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_fhzx.flv
鳳凰衛視資訊台,http://bxtv.3a.ink/api.php?id=fhzx
鳳凰衛視資訊台,https://smart.pendy.dpdns.org/Smart.php?id=phoenixinfo_hd
鳳凰衛視資訊台,http://php.jdshipin.com:8880/smt.php?id=phoenixinfo_hd
翡翠台,http://s1.an94tv.cfd/aktv/CH-0/AKTV.m3u8
翡翠台,http://bxtv.3a.ink/api.php?id=fct
翡翠台,http://push-rtmp-hs-spe-f5.douyincdn.com/live/xiangjiaoge15131132145.flv
翡翠台,https://012v4.pendy.dpdns.org/hls/3672252c-bea6-40ce-b186-e2072a0fd9f9/playlist.m3u8
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
美亞電影台,http://s1.an94tv.cfd/aktv/hk/AKTV.m3u8
美亞電影台,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_mydy.flv
美亞電影台,http://bxtv.3a.ink/api.php?id=meiya
美亞電影台,https://mysupertv.pendy.dpdns.org/CMAM/cmam.m3u8
美亞電影台,http://php.jdshipin.com:8880/smt.php?id=meiyamovie_twn
香港|翡翠台,https://smart.pendy.dpdns.org/Smart.php?id=jade_twn
香港|翡翠台 backup,https://smart.pendy.dpdns.org/Smart.php?id=Jade_xue
香港|iNews 新闻台,https://smart.pendy.dpdns.org/Smart.php?id=inews_twn
無線新聞台,http://bxtv.3a.ink/api.php?id=wxxw
明珠台,http://bxtv.3a.ink/api.php?id=mz
香港|J 2,https://smart.pendy.dpdns.org/Smart.php?id=j2_twn
香港|珍珠台,https://smart.pendy.dpdns.org/Smart.php?id=pearl_twn
香港|HOY资讯台,https://smart.pendy.dpdns.org/Smart.php?id=hoycaijing_twn
香港|RHK 31,https://smart.pendy.dpdns.org/Smart.php?id=rhk31_twn
香港|VIUTV1,https://smart.pendy.dpdns.org/Smart.php?id=viu1_twn
香港|RHK 32,https://smart.pendy.dpdns.org/Smart.php?id=rhk32_twn
PopC,http://fr-us7.jdiptv.cc/live/popc.m3u8
PopC,http://s1.an94tv.cfd/aktv/popc/AKTV.m3u8
ROCK Action,http://s1.an94tv.cfd/aktv/rockaction/AKTV.m3u8
天映經典(1080),http://s1.an94tv.cfd/aktv/1080/AKTV.m3u8
明珠台,http://s1.an94tv.cfd/aktv/CH-2/AKTV.m3u8
明珠台,http://php.jdshipin.com/TVOD/iptv.php?id=mzt
明珠台,http://php.jdshipin.com/TVOD/iptv.php?id=mzt2
天映电影,http://s1.an94tv.cfd/aktv2/CH-3/AKTV.m3u8
天映电影,http://php.jdshipin.com/smt.php?id=Celestial2
好萊塢電影台,http://s1.an94tv.cfd/aktv2/CH-1/AKTV.m3u8
東森洋片,http://s1.an94tv.cfd/aktv2/CH-2/AKTV.m3u8
myTV SUPER 18台,http://bxtv.3a.ink/api.php?id=18
TVB Plus,http://bxtv.3a.ink/api.php?id=tvbp
澳视澳门,http://php.jdshipin.com/TVOD/iptv.php?id=asam
澳视卫星,http://php.jdshipin.com/TVOD/iptv.php?id=as
RTHK31,http://php.jdshipin.com/TVOD/iptv.php?id=rthk31
RTHK32,http://php.jdshipin.com/TVOD/iptv.php?id=rthk32
VIUTV粤频标,http://php.jdshipin.com/PLTV/iptv.php?id=viutv2
无线娱乐频标,http://php.jdshipin.com/PLTV/iptv.php?id=tvbylxw
无线明珠频标,http://cdn5.132.us.kg/live/mzt/stream.m3u8
RTHK31,https://cdn5.163189.xyz/live/rthk31/stream.m3u8
RTHK32,https://cdn5.163189.xyz/live/rthk32/stream.m3u8

台湾新闻,#genre#
中天新闻,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv009
TVBS新闻,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv072
东森新闻台,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv152
民视新闻台,http://192.168.1.1:16888/snowai?token=leifeng&id=litv-ftv13
镜电视新闻台,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv075
非凡新闻,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv010
台视新闻台,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv051
华视新闻,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv052
中视新闻台,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv074
寰宇新闻台,http://192.168.1.1:16888/snowai?token=leifeng&id=litv-longturn14
